Frame,Right Hand x,Right Hand y,Right Hand z,Left Hand x,Left Hand y,Left Hand z,class
0,0.311465011,-0.329472353,0.750763282,,,,0
1,0.563722653,-0.088187411,1.033415325,,,,0
2,0.474086885,-0.922834433,0.802288894,,,,0
3,0.690891021,-1.62211459,0.393867351,,,,0
4,0.179927497,-1.985673139,1.390811631,,,,0
5,-0.149646723,-2.158896295,1.687170404,,,,0
6,-0.50020669,-1.487293219,2.232266899,,,,0
7,-2.043226958,-0.76276682,2.645057887,,,,0
8,-1.929359714,0.527938528,2.540139899,,,,0
9,-1.51768425,1.894931593,2.179212366,,,,0
10,-0.500174805,2.514860394,2.009999476,,,,0
11,0.329468348,1.561235568,2.231041519,,,,0
12,0.771166646,0.941107739,1.91644346,,,,0
13,0.413109549,1.180037446,1.742141887,,,,0
14,-0.29481656,1.25167433,1.619218843,,,,0
15,-0.362036256,1.613459717,1.20194822,,,,0
16,-0.420250853,1.737323077,1.015023068,,,,0
17,-0.55971878,1.465721937,0.767462155,,,,0
18,-0.641229176,1.342827393,0.322552544,,,,0
19,-0.262935679,0.772180168,0.257814855,,,,0
20,0.056246175,0.340663072,0.156450627,,,,0
21,0.02111777,0.708198113,0.298752475,,,,0
22,-0.674695334,2.151108544,0.685890871,,,,0
23,-1.027855043,2.644213175,1.119997214,,,,0
24,-0.900388878,2.093321118,1.570783326,,,,0
25,-1.353120752,1.612622888,1.66361477,,,,0
26,-0.966701309,1.423700266,1.214538513,,,,0
27,0.018431167,0.267514666,0.658708336,,,,0
28,0.584735729,-0.170419347,0.33316372,,,,0
29,0.241592465,0.084265307,0.147251649,,,,0
30,-0.875383779,0.873641641,0.608123785,,,,0
31,-1.442230265,1.459600269,0.917270039,,,,0
32,-1.341293114,1.930829019,0.877752698,,,,0
33,-0.57052822,2.053411147,0.742731953,,,,0
34,0.384690581,0.611411358,0.426070333,,,,0
35,0.118189458,-0.31550768,0.32456689,,,,0
36,-0.174429283,-1.438272897,0.030467672,,,,0
37,-0.630180553,-1.534013169,-0.218608717,,,,0
